text,positive_score,negative_score,neutral_score
The vibrant festivals held within the walls added a sense of life and excitement to the ancient architecture.,0.92525,0.0034125443,0.07133741
We were in awe of the breathtaking structures and the attention to detail that went into every aspect of the citadel.,0.9783438,0.0047079353,0.016948314
"Walking through the palace grounds, we felt transported back in time to a period of imperial grandeur.",0.50733477,0.008029785,0.48463547
Hue Imperial City is a must-visit destination for anyone seeking a cultural and historical experience like no other.,0.97037405,0.0020865535,0.027539413
"The main temple is closed for renovation, very big place for tourists to walk around but need more places to rest and re-charge and CLEAN toilets properly is the basic hygiene.",0.057981573,0.48409593,0.4579225
beautiful and ancient.,0.90658545,0.021518396,0.07189616
We really like the space and scenery here.,0.9836578,0.0021972456,0.014144982
My tour guide told stories about what happened somewhere.,0.030303577,0.035528876,0.93416756
It was great,0.95968604,0.00806151,0.032252494
Had a lovely trip here.,0.9751686,0.0063807084,0.01845072
The buildings are amazing and we were lucky to have some great weather.,0.98787016,0.003802956,0.008326875
Great history too.,0.948417,0.007621987,0.043961015
We took a cyclo from here which was great but was organised for us by our tour guide - it was excellent too!,0.98725384,0.0021779859,0.0105681475
"We embarked on a 3-hour journey from Da Nang to Hue City, the former imperial capital, seeking authentic Vietnamese charm.",0.36924213,0.005194303,0.6255635
"Hue City, with its majestic imperial citadel, serene landscape, and rich cultural heritage, offers a uniquely enriching experience for travelers.",0.9716418,0.0019611265,0.026397066
"During our short visit, we had the pleasure of indulging in Hue's specialties, which were truly amazing.",0.98633444,0.0021569899,0.011508484
"Although our stay was brief, I hope to revisit Hue City in the future to further explore its wonders.",0.9475133,0.002536562,0.049950134
#HueCity #Vietnam #Travel #Foodie,0.1332695,0.011547864,0.8551825
Amazing architecture.,0.9596691,0.010883366,0.029447505
"Learn a lot about the history from our guide, Mr. Tan.",0.4026927,0.0062819268,0.5910254
"He knows everything about this spot, and told us some interesting stories about the royal families.",0.752502,0.0046716067,0.24282636
Would love to see more historical relics in Hue.,0.88437796,0.0068868785,0.108735174
The grounds for the citadel are huge but the most important parts are walkable.,0.7470733,0.010356601,0.24257013
There are several beautiful buildings here and we were told were palaces had been before they were destroyed in the war.,0.8843462,0.03126096,0.084392905
Very interesting.,0.9034664,0.010484731,0.086048886
"Born and bread in Hue, Ruby arrived full of energy and ideas to help us discover her hometown.",0.8476853,0.0032095772,0.14910513
Her English was perfect.,0.957556,0.0069494443,0.035494585
"Apart from the Citadel, Pagoda and tombs that are a must see she decided on day 2 to take us on an adventure.",0.8204531,0.0073823454,0.17216451
Once per year in a small village near Hue occurs an important wrestling competition.,0.44000378,0.0042027235,0.5557935
We were immersed in local lore.,0.64262056,0.0061564613,0.35122293
"On our bikes she had us discover the villages, the artisans and the people.",0.42453977,0.0068199453,0.5686403
A quick stop to enjoy a decadent salt coffee.,0.73743975,0.008195329,0.25436494
"Ruby did not miss an minute to educate us on local customs, history and she was simply good fun!",0.97994035,0.003581307,0.016478373
No dull moments with Ruby.,0.832925,0.012761551,0.15431337
"Jeannette and Francois, Caroline and Martin
Victoria / Montreal, Canada",0.036607496,0.01144309,0.9519494
Should go with a guide.,0.086054645,0.09307721,0.82086813
Can check prices at hotel.,0.071012,0.029003346,0.8999847
Citadel had to be reconstructed since structures were almost fully destroyed during US bombardments during the Vietnam war.,0.008740046,0.799411,0.19184887
Historical info is available in some places.,0.11305962,0.009500497,0.8774399
Wear comfortable walking shoes.,0.37481123,0.028793536,0.59639525
Takes about 2 hours to walkabout the area,0.07473528,0.023507988,0.9017568
This was the highlight of our full day Hue tour from Da Nang.,0.94839716,0.0013724739,0.050230402
"The palace is set across the city center, over the Perfume river.",0.0652561,0.007822932,0.926921
"Complex is really huge consisting of several palaces (main one closed for renovations), shrines, theater, Royalty residences, landscaped gardens,...etc, everything you might expect from an Imperial palace.",0.6522322,0.014235034,0.3335327
You need around 2 hours to cover the complex.,0.08846425,0.020103537,0.8914321
"As I said we were on a tour, with a good speaking (though sometimes tougher understanding) guide who explained a lot.",0.90500784,0.005792734,0.089199394
"Without a guide it'd be pointless to wander around, so rent one if not on a tour.",0.051439177,0.41852403,0.5300368
"The complex is not that old, dating to 19c.",0.11809447,0.04822911,0.8336764
It was the political and administrative center of Nguyen dynasty.,0.057277735,0.022137282,0.9205849
"It reminds on similar Imperial seats of power in Korea, Japan, Thailand....certainly a must do visit.",0.7826342,0.006473595,0.21089229
"The main attraction of Hue, it’s a must to visit the citadel.",0.9656038,0.002718498,0.031677697
"Indeed we arranged a home stay within the walls which, although lovely, was probably not ideal.",0.022772167,0.6397961,0.33743185
I’d recommend staying in a hotel across the river close to the shops and restaurants.,0.31317422,0.023279797,0.66354597
We went to the imperial city and hired a guide.,0.059382133,0.020293823,0.920324
She was particularly difficult to understand and we thought that an audio guide might have been a better alternative.,0.007101413,0.87375534,0.1191432
After less than an hour she left us to wander around which was better.,0.2645196,0.07104695,0.6644335
We especially liked the gardens.,0.9731479,0.0060331537,0.02081896
Be aware main palace is closed for renovation currently so while there is plenty to see and enjoy walking around the grounds the main event is off limits,0.094240226,0.16098309,0.7447767
Many parts of the palace has been destroyed.,0.006747826,0.8672267,0.12602541
"Long walk not good for elderly, and if u want to know the history, it's better to get guided tour guide.",0.016576624,0.70073164,0.28269172
Beware of the fruit seller (old lady around 60s).,0.045552395,0.2509991,0.70344853
She is not honest.,0.0102753,0.8500182,0.13970652
She took 200k dong from my mum's wallet when we just bought 2 packets of fruits without returning her the balance.,0.011887011,0.7110142,0.2770988
This is clearly daylight robbery.,0.014096485,0.8860832,0.09982033
Hope she will get her karma.,0.03183474,0.6658188,0.30234644
"Citadel Hué: Interesting but very poor educational service; hardly any information panels, audio guide useless:
A patchwork of information is read down by a seemingly bored german voice.",0.006798571,0.93428046,0.05892097
Most places provide no information whatsoever.,0.010335841,0.8264022,0.16326189
Step into the past with a visit to the majestic Hue Imperial City.,0.4325288,0.0067283674,0.5607428
"With its distinctive traditions, grand processions, colourful lanterns, and intricate carvings, it's an experience you won't soon forget!",0.97443205,0.0031279172,0.022439977
Be sure to take lots of pictures - you'll want to show off your visit to this incredible place!,0.9794271,0.0022043623,0.018368518
"The complex worths the visit, even if the main building is under work.",0.72512245,0.013996287,0.26088125
"Our mistake was to book a guide directly there, she explained us basically nothing and after 25 minutes she told us we had to continue on our own.",0.0062586637,0.8483852,0.1453561
Much better the audioguide that explains you each interesting point.,0.840805,0.010347005,0.14884803
Amazing complex and we wish it wasn’t raining so hard in Hue whilst we visited.,0.8728666,0.037868723,0.089264736
The whole palace will rival any European grand palaces.,0.58348185,0.031786174,0.38473195
It will be amazing once they’ve finished restoration.,0.97589725,0.0028244578,0.02127825
We had a day in Hue and decided to visit.,0.19622883,0.005013217,0.798758
"Keep in mind it was raining so take this review with a grain of salt but honestly it was not worth the 200,000 price of admission.",0.009135081,0.86496395,0.12590094
The main palace is closed and there is no sinage to tell you what your looking at.,0.025654502,0.52185196,0.45249355
Maybe if you pay more for a guide it would be better.,0.0922509,0.20366651,0.7040826
"On top of that they ask you to pay another 200,000 once you are inside if you want to watch the show.",0.016661344,0.68838716,0.29495153
Keep on mind the show is only 30 min long.,0.17222346,0.06615084,0.7616257
Maybe it's nicer in better weather but honestly there is so much else to do in this city save your money and just explore.,0.61702734,0.1005937,0.28237897
"Went with a guide (recommended), the old city is really interesting if you are into history.",0.9677472,0.0024863153,0.029766427
"Alot of influence from their neighbours, though some palaces are not standing, the remaining ones are pretty interesting.",0.701893,0.011950059,0.286157
Overall a good walkable site and a must see palce I Hue.,0.97569716,0.00384146,0.020461408
"We toured this early on during a hot and humid day, which certainly helped.",0.9334367,0.004747284,0.061816003
Interesting insight into the king’s life - I’m not sure I could have coped with so many concubines (700?),0.69316995,0.049291186,0.25753883
even without a eunuch to help me keep track.,0.059997477,0.36851192,0.57149065
Interesting to see the bullet holes from the war.,0.19980775,0.08077828,0.71941394
"It’s a very big site, so we certainly looked forward to the aircon in the car afterwards.",0.9591284,0.002363969,0.038507625
Its grand scale and intricate embroidery are truly impressive.,0.9592122,0.007911361,0.0328765
"From the elaborate ceremonies to the intricate gates, the City is a sight to behold.",0.9322929,0.007686998,0.06002018
Visiting here will give you a unique insight into the grandeur of Vietnam's imperial past.,0.7500518,0.005338309,0.24460989
It's an unforgettable experience that will stay with you for a lifetime.,0.9754684,0.0048333765,0.019698178
We booked this trip through our Hotel in Da Nang.,0.08373257,0.0049647884,0.9113027
The site is beautiful.,0.97954744,0.0060886363,0.014363906
You can feel its antidote regality.,0.29748744,0.08056883,0.6219438
The ruinous look of the.buildings adds to the allure.,0.013601963,0.8525214,0.13387658
It’s good to see that there is renovations taking place as some parts need it.,0.84428465,0.015988782,0.13972662
Definitely worth a visit.,0.9647708,0.006250349,0.028978843
Worth a good half day here.,0.9709571,0.0036036177,0.025439316
There is an extensive area to explore and a few areas one can sit down in.,0.53661066,0.0047045755,0.45868477
It can be very hot so umbrellas can be useful.,0.31304154,0.060393173,0.62656534
There is a VR Simulator building which promises to recreate how the Citadel would have been.,0.41439468,0.009949158,0.5756561
There is no signage to warn you that it operates on a very fast break neck speed motion camera flying you over the palace grounds.,0.02124367,0.515813,0.46294338
Fun for those who are ok with this sort of motion but my husband was really knocked up and it almost ruined our visit here.,0.13624689,0.4760708,0.38768226
So be warned if this is not your thing!,0.061171383,0.44140238,0.49742624
"Not many buildings older than 1900, due to remodelling by last Dynasty of Vietnamese rulers.",0.04671995,0.105765104,0.8475149
Ist parts least interesting.,0.13788147,0.27014753,0.591971
The exhibitions and explanations of the excavations of palaces on and around the site are very interesting.,0.9428431,0.0032430622,0.053913854
"We'll curated, displayed and put in context, going back to about 900 AD.",0.122328706,0.0115274405,0.8661439
Some stunning artefacts.,0.9381291,0.012588368,0.0492825
"Nice gardens, decent cafe and opportunities to dress up.",0.95655483,0.0048790756,0.038566075
We were really underwhelmed by the visit.,0.012603177,0.8816377,0.105759084
Both the palace and the main building were under construction.,0.033753455,0.059471954,0.9067746
"The citadel is very impressive from the outside, but very little from the inside.",0.38257056,0.1624437,0.45498577
Colours have faded and the temples are not impressive.,0.011714289,0.86089444,0.12739126
"We had just visited Bai Dinh in Ninh Binh, which is marvelous and might have clouded our judgement.",0.7592507,0.014336478,0.22641282
Allow plenty of time.,0.39383876,0.04493898,0.56122226
"Take fluids & sun protection, although there is plenty of shade.",0.6473154,0.015059177,0.33762544
"Very insightful, Fabulously beautiful, great photo opportunities.",0.9799319,0.0062923343,0.013775799
Lovely gardens.,0.9590624,0.010820272,0.030117327
"Enjoyed reading the historic information, especially the personal insight into the individuals.",0.9395209,0.0042793676,0.05619979
"Only had 24hrs in Hue, appears a super clean, relaxed place & may give more time to explore if ever we pass this way again.",0.8907764,0.005294018,0.103929564
"Suggest you get a taxi from the city, as you'll be walking round most of the day.",0.06434665,0.08258799,0.8530654
"Beautiful setting, need to visit, even in case of little time, easy to stroll around, in between business meetings.",0.9764682,0.0039156326,0.019616112
"Close to Saigon Hotel Morin where we were located, easy walk.",0.54225993,0.0037995812,0.45394048
"The entrance fee is 200,000 VND, and the citadel was worth it!",0.96465176,0.002835035,0.03251316
I never went to such a giant palace like this.,0.21276563,0.3779666,0.40926772
"When I went here, some parts were under restoration.",0.099353515,0.032368083,0.86827844
"However, in general, the whole structure still maintains its own beauty.",0.72105765,0.01246996,0.2664724
"The food stalls around are good, too!",0.9768445,0.0027627943,0.020392736
"Although the weather when I visited the citadel was hot and sunny, I still loved the experience!",0.98291653,0.0027573828,0.014326011
We expected more and was a little disappointed as the site is a little run down.,0.011452221,0.8697589,0.118788846
Once all the restoration is completed this will be an awesome site to visit.,0.978095,0.002723174,0.019181887
The garden is lovely and well kept.,0.97843814,0.005141565,0.016420303
"This is the last royal family, Nguyen’s imperial palace.",0.074322335,0.020179724,0.9054979
The structure was influenced by forbidden city in Beijing.,0.014291963,0.32329455,0.66241354
"It brings you back to 19th century, the time of WW2.",0.08949698,0.054641318,0.8558617
"A local driver I met during the trip told us that even though the entrance fee is extremely expensive, there’re many spots under restoration so it’s cheating.",0.017102389,0.71144456,0.27145305
"Well, maybe right since Noi Dien was under restoration when we were there in August but we couldn’t help it because we were tourists from abroad who can’t come here often.",0.05638603,0.42288414,0.52072984
It’s vast.,0.38294065,0.118635744,0.49842367
You walk a lot in hot weather so bring waters with you.,0.34795034,0.031820096,0.62022954
"If it doesn't rain in Hue, it's fine.",0.23433624,0.08013074,0.685533
"When it rains, you don't know when it stops.",0.1034827,0.2466727,0.64984465
"The entire Hue Citadel was soaked, Hue was sadder and more silent.",0.01730931,0.8197361,0.16295461
The grass flowers (a delicate flower that is the ambassador of autumn) bloomed late and bowed in the rain.,0.043210745,0.3312391,0.62555015
Even the bunches of purple magnolia blooming out of season cannot call back the sunshine.,0.094202474,0.47156173,0.43423587
"10 years ago when we were here, plane was late and we didn’t make it.",0.010774823,0.8603741,0.12885109
So this time we stayed 2 nights in Hue to go inside.,0.040498536,0.03946763,0.9200338
August was very hot so we tried to enter as soon as opened.,0.2117988,0.025893949,0.7623072
So we got good 3 hours to walk around and take photos.,0.77731025,0.005468779,0.2172209
Place was big.,0.3724122,0.044393398,0.58319443
Gardens were nice.,0.92100555,0.01090971,0.06808474
"If you are into history, you can organise guide.",0.4249512,0.015068806,0.5599799
We were happy we made this time.,0.97826684,0.0033792688,0.018353852
Impressive area with much to see .,0.9750649,0.004328627,0.02060651
Take a guided tour as there is information that provides context for the visit,0.24141218,0.009662426,0.7489255
We loved our visit here - the place is massive and reminded us of the Forbidden City in Beijing.,0.99032885,0.0024508499,0.0072203614
Impressive and lovely strictures and fascinating history.,0.9752671,0.0057894913,0.018943382
Definitely a must see.,0.96439594,0.006288246,0.029315837
Needs 2-3 hours.,0.0691107,0.051232755,0.8796566
"when i had Hue city trip two weeks ago,i came here to witness the history of Nguyen dynasty.",0.42334288,0.006053643,0.5706035
it is a must-see attraction in Hue city.,0.9580574,0.002426884,0.039515723
"The imperial city is a walled enclosure within the citadel of the city of Hue,it is the former imperial capital of Nguyen dynasty.",0.033471167,0.026490126,0.9400388
"It contains palaces, shrines, gardens, and villas.",0.17787151,0.0063144164,0.8158141
it constructed in 1803 under Emperor Gia Long as a new capital.,0.07003378,0.015530622,0.9144356
"in 1993, it was designated as a UNESCO World Heritage Site.",0.5130578,0.00666574,0.4802764
"unfortunately, when i visited this place, Điện Thái Hòa under renovation, it is the most important palace inside the imperial city,this palace houses the throne of all Nguyen Emperors.",0.072120234,0.52798873,0.39989102
"you need three hours to visit this place, especially if you are keen on history and also photos taking.",0.6281446,0.008181573,0.36367375
"heard that renovation of Dien Thai Hoa will be completed in 2025, so i will come again.",0.58312404,0.0036979152,0.41317806
It is a very impressive site.,0.9781365,0.0051184082,0.016745085
"It is huge, beautifully kept and really interesting.",0.9784656,0.0053619556,0.01617236
"It does get very busy at the main Pagodas, but because of its size, we managed to find peaceful places.",0.7008995,0.018657712,0.2804428
We loved the Royal Gardens.,0.97658783,0.0050972016,0.018314956
We spent several hours there just enjoying the surroundings.,0.9460809,0.0031474899,0.050771587
It was worth travelling to Hue to visit this place.,0.93398607,0.0056992667,0.06031465
"We only stayed in Hue for two nights, as we did not love the town itself.",0.007754306,0.8979112,0.094334535
We visited during summer so the weather was extremely hot.,0.09508391,0.27925712,0.625659
"Be prepared to walk a lot, bring lots of water, hat and sunblock.",0.4398064,0.031421132,0.5287725
We booked a one-day tour as we also wanted to visit the tombs and temples.,0.4863929,0.0044554076,0.5091517
The guide helps for us to understand some historical stories with Vietnam.,0.5306792,0.0056609474,0.4636598
"You should spend a whole day in this attraction “ imperial hue “ due to it’s huge and spacious, if someone else is interested in historical researches he/she can not pass this citadel.",0.5950258,0.05179189,0.35318232
"You can order live guide at the ticket counter, ticket cost 10$",0.04973236,0.021873297,0.9283943
Magnificent!,0.92919666,0.01311191,0.05769147
It brings back a variety of things about Vietnamese history.,0.700575,0.008722081,0.2907029
Ordinary days will cost a small fee of about 200k (around $9) but it actually worth it for visitors.,0.5538765,0.012277258,0.43384624
It has something really mysterious and a historical experience.,0.26095232,0.031952135,0.7070955
Hue Forbidden City in Vietnam is a captivating destination that showcases the grandeur of the Nguyen Dynasty.,0.92703223,0.0037756439,0.06919215
"The palaces within the complex are stunning, with intricate details and vibrant colors.",0.9754784,0.0049186773,0.01960289
"The knowledgeable and friendly staff provide valuable insights, enhancing the experience.",0.9675202,0.0044659264,0.028013924
"The well-preserved site, informative signage, and audio guides make it educational and visually impressive.",0.9743654,0.0027066695,0.022927925
"A visit to Hue Forbidden City is a must for history and culture enthusiasts, offering a glimpse into Vietnam's royal legacy.",0.8568201,0.0028256678,0.14035428
"Although it was hot, the long walk through the citadel was worth it.",0.8534329,0.009969508,0.13659754
The citadel is a place of historical significance.,0.21379803,0.012357689,0.77384424
"From its elegant architecture to its lavish gardens, you will feel the sight that will take your breath.",0.96225566,0.003821472,0.03392291
Its a must to experience it,0.86990476,0.008763822,0.12133148
"I recently visited Hue Citadel during the summer, and while there were some positive aspects, my overall experience was a mix of pros and cons.",0.22564809,0.16951624,0.6048357
One of the primary challenges of visiting during the summer was the hot weather.,0.019874604,0.63422275,0.34590268
The high temperatures made exploring the Citadel physically demanding and somewhat uncomfortable.,0.015185313,0.6908298,0.2939849
"It's important to come prepared with sunscreen, hats, and plenty of water to stay hydrated.",0.6500285,0.024329377,0.32564205
Another aspect that detracted from my experience was the perceived unfriendliness of the guards.,0.007099548,0.74990314,0.2429973
"While it's important to note that this might not be the case for everyone, I encountered some guards who were less than welcoming and appeared disinterested in providing assistance or answering questions.",0.016884759,0.6568997,0.32621557
This lack of friendliness dampened the overall atmosphere of the Citadel.,0.0059300913,0.882257,0.111812934
"On the positive side, the palace within the Citadel was impressive.",0.9446168,0.005480511,0.049902696
"The historical significance and architectural beauty of the buildings were evident, providing a glimpse into Vietnam's rich cultural heritage.",0.9103673,0.0025901506,0.08704248
The palace's intricate details and well-preserved elements were certainly worth exploring.,0.9684988,0.003112966,0.028388198
"However, one downside was the excessive construction happening within the Citadel.",0.022727644,0.5775149,0.39975742
The presence of ongoing construction work detracted from the overall ambiance and made it challenging to fully appreciate the historical surroundings.,0.011756909,0.7341664,0.2540767
It would have been preferable if the construction activities were better managed to minimize their impact on visitors' experience.,0.052772727,0.40717778,0.5400495
We had a really great time exploring the Imperial city.,0.98760533,0.0028142342,0.0095805
"I would advise going early in the morning, we went at 10:00 and it was already baking hot although not particularly busy.",0.15049417,0.103957996,0.74554783
"It’s a large, beautiful site and you can easily spend a couple of hours strolling the various streets and pagodas.",0.9836504,0.0030140788,0.013335494
I also enjoyed watching the numerous Vietnamese ladies in traditional clothing who were having a great time posing for photos.,0.9738341,0.0029677043,0.02319819
Definitely a worthwhile place to see when in Hue.,0.9594284,0.0042662085,0.036305346
beautiful.a great place both people and atmosphere.i love this place.love this scenic place.😍🥰😍😍,0.98789585,0.0044139274,0.0076902085
"This ‘gem’ was hyped us as the main reason to visit Hue and, as you approach it from the outside, the Citadel does look amazing with imposing ramparts and a moat.",0.9597684,0.0033812646,0.036850367
But we thought that the insides was a massive letdown.,0.015986083,0.79858756,0.18542632
"The vast proportion was either grassy patches or under renovation (including the Forbidden City), hidden under tarpaulin sheets.",0.03517764,0.2605942,0.70422816
There was a small beautiful area around the Pavilion in the northwestern section but you had to work hard to find it and there was no signage.,0.26496965,0.26715174,0.46787867
It was helped by being a stinking hot day but there was little in the way of shade either .,0.041225668,0.6951904,0.2635839
Luckily that day we went to 3 temples/tombs of the emperors just outside of Hue and that was a much more worthwhile trip - I suggest that you bin the Citadel and go there instead.,0.8904208,0.014278607,0.09530057
"Although it was hot, late in the afternoon, the long walk through the property was worth it.",0.79646814,0.009959289,0.1935726
Make sure to look along rooflines.,0.14110117,0.025087921,0.8338109
A must visit while in Hue!,0.9561984,0.004463837,0.039337784
I would recommend getting an audio guide and listening to the areas that seem interesting to you to get a little more out of your visit.,0.63958544,0.0054940972,0.35492045
You can stay there for as long as you want.,0.31195456,0.03562197,0.65242356
"We walked though the entire compound, taking pictures, and listening to the audio guide occasionally, and we spent about 3-4 hours there.",0.14299229,0.004103772,0.85290396
"To me, the eastern side seemed more interesting, if you have limited time and just want to see part of it.",0.6489967,0.013403109,0.33760014
The Citadel is a place of historical significance to the Vietnamese people and should not be missed when visiting Hue.,0.6407846,0.009625445,0.34958997
If you are visiting in July go early to avoid the heat.,0.19280149,0.04749364,0.7597048
This magnificent citadel is a must-see for anyone visiting Hue.,0.9832065,0.0025625236,0.0142309135
"From its elegant architecture to its lavish gardens, the citadel is a mesmerizing sight that will take your breath away.",0.97257984,0.0058910954,0.021529062
"Whether you're looking for a unique cultural experience or simply want to take in the beauty of the city, Hue Imperial City is a must-see.",0.9675271,0.0025073062,0.029965568
An amazing insight into the Imperial reign of Vietnam !,0.8968656,0.00979406,0.093340345
Fortunately we had a great local English speaking guide who informed us about the 13 Kings and their reigns.,0.8868429,0.0060782237,0.107078895
The 2nd King lived herewith his 500 concubines!,0.17049873,0.011262983,0.8182383
Unfortunately we chose the wrong season as it was a scorching 36 deg but felt like 42!,0.009916453,0.9069784,0.083105065
.I would highly recommend hiring the tuk tuk to take you around the 500 hectares prop!,0.87185663,0.006418685,0.12172463
Lots to see but walking in the extreme heat is no fun!,0.09481538,0.58393484,0.32124972
"My fav places were the library and the Queen Mothers palace👍
Highly recommend to visit but get a guide.",0.98179173,0.0034413103,0.014766943
The Hue Imperial City is a Must-See!,0.96171093,0.0030081149,0.035280928
"From its vibrant nightlife to its intricate mosaics and vibrant artistry, this majestic city is a sight to behold.",0.97541434,0.0050369296,0.019548764
Grand processions and festivals make it even more special.,0.9471134,0.004243522,0.048643034
It's a must-see for anyone visiting Vietnam!,0.9768147,0.0026111738,0.020574108
"This ancient citadel, located in Hue, Vietnam, is home to numerous elaborate temples and majestic pagodas.",0.64019525,0.005929815,0.3538749
"From the intricate sculptures that adorn the walls to the grand entrance gates, you'll be in awe of the sheer magnitude of this grandiose structure.",0.9295737,0.008493968,0.06193233
The vibrant colors and intricate details of the temples and pagodas will leave you in awe.,0.9588084,0.006256334,0.03493526
"Whether you're a history buff or simply looking for a unique experience, Hue Imperial City is a must-see.",0.9557599,0.0029462997,0.041293856
Don't miss out on the chance to marvel at this stunning sight.,0.9654816,0.0032695709,0.031248871
"I found the Imperial City (The Citadel) to be charming, interesting and pleasant.",0.976002,0.0031124942,0.020885501
"It was, perhaps the most interesting and charming place I visited in my trip to Vietnam.",0.98430437,0.0029939557,0.012701665
"It was like a very relaxing walk in a huge park, where now and then you came across temples, palaces and other buildings in different stages of restoration.",0.9424946,0.003114058,0.054391403
"Because it is so large, it is almost never too crowded and you almost never have to stay in line to see any of its beauties.",0.8980081,0.014368239,0.08762365
"If you have the time, you could easily spend half a day here, may be even longer, just wondering around, admiring the flowers, the vegetation and the colors and architecture of the various buildings.",0.9027962,0.004138571,0.0930652
"Yes, it is not a Borobudur, a Prambanan or a Angkor Wat, but it is a lovely and relaxing place...",0.8723456,0.014964185,0.11269019
"The Imperial City of Huế is a walled enclosure within the citadel of the city of Huế, the former imperial capital of Vietnam during the Nguyễn dynasty.",0.036674082,0.02150465,0.9418213
"It contains the palaces that housed the imperial family, as well as shrines, gardens, and villas for mandarins1.",0.052040868,0.010207543,0.9377516
"Constructed in 1803 under Emperor Gia Long as a new capital, it mostly served a ceremonial function during the French colonial period.",0.046493273,0.020880071,0.9326266
"After the end of the monarchy in 1945, it suffered heavy damage and neglect during the Indochina Wars through the 1980s.",0.0051442534,0.851227,0.14362882
The Imperial City was designated as a UNESCO World Heritage Site in 1993,0.44078723,0.0076458245,0.55156696
"With its elaborate marble carvings, intricate gates, and impressive architecture, it is no wonder that it is one of the most popular tourist destinations in the area.",0.9683957,0.0029799258,0.028624302
"The walls of the Citadel are made of brick and stone, and are surrounded by a moat.",0.023642853,0.15662093,0.81973624
"Inside, visitors will find a complex of palaces, courtyards, and gardens.",0.37660062,0.0063269995,0.61707234
"The architecture of the Citadel is a stunning blend of Chinese, Vietnamese, and French influences, and is sure to impress even the most seasoned traveler.",0.9642259,0.0036009569,0.0321732
The marble carvings and intricate gates are a testament to the skill of the artisans who created them.,0.86396956,0.016337503,0.11969293
"Whether you are looking for a unique cultural experience or simply want to marvel at the impressive architecture, Hue Imperial City (The Citadel) is the perfect place to visit.",0.97404295,0.0019722902,0.023984777
"From the majestic Citadel, to the grand palaces, to the colourful lanterns, the city is a feast for the eyes.",0.977662,0.0032067385,0.01913128
"The Citadel is a stunning example of traditional Vietnamese architecture, and its grand palaces are a testament to the country's vibrant artistry.",0.9670728,0.0037861362,0.029141113
The colourful lanterns that adorn the city's streets add a unique touch of colour and beauty to the city.,0.9334919,0.0034101044,0.06309803
"The city is also home to many vibrant markets, where visitors can find a variety of local goods and souvenirs.",0.9363778,0.0019881479,0.061634097
The city is a perfect destination for those looking to experience the culture and beauty of Vietnam.,0.97500753,0.0020452475,0.022947239
This turned out to be much larger than I had thought.,0.28652316,0.20816629,0.50531054
You could spend a half day to a full day exploring it all.,0.48809493,0.022085926,0.4898191
They have golf cart cars you can rent to take you all over.,0.21464379,0.031456728,0.7538995
It’s a nice walk though with lots of areas to pop into for shade.,0.9469324,0.0033210223,0.049746584
I would suggest the audio tour.,0.123213984,0.03515057,0.8416354
"From the elaborate temples to the intricate embroidery, from the impressive fortifications to the elaborate gardens, this is a place that will leave you in awe.",0.96520895,0.0073425584,0.027448473
It is a UNESCO World Heritage Site and is one of the most important cultural sites in Vietnam.,0.9406288,0.0023043947,0.05706678
The Citadel is a great place to explore and learn about the history of the city.,0.9601651,0.0023557812,0.037479125
